[2024-02-29 16:05:08.531] 
[2024-02-29 16:05:08.563] 2.56
[2024-02-29 16:05:08.563] 5.47
[2024-02-29 16:05:08.563] 5.69
[2024-02-29 16:05:08.563] 4.38
[2024-02-29 16:05:08.563] 3.56
[2024-02-29 16:05:08.563] 6.06
[2024-02-29 16:05:08.563] 12.41
[2024-02-29 16:05:08.563] 18.94
[2024-02-29 16:05:08.563] 21.50
[2024-02-29 16:05:08.563] 19.81
[2024-02-29 16:05:08.563] 17.16
[2024-02-29 16:05:08.563] 16.03
[2024-02-29 16:05:08.563] 17.09
[2024-02-29 16:05:08.563] 18.97
[2024-02-29 16:05:08.563] 19.22
[2024-02-29 16:05:08.563] 16.75
[2024-02-29 16:05:08.563] 12.69
[2024-02-29 16:05:08.563] 9.09
[2024-02-29 16:05:08.563] 7.69
[2024-02-29 16:05:08.563] 8.38
[2024-02-29 16:05:08.563] 9.19
[2024-02-29 16:05:08.563] 7.44
[2024-02-29 16:05:08.563] 1.28
[2024-02-29 16:05:08.563] -6.81
[2024-02-29 16:05:08.563] -11.72
[2024-02-29 16:05:08.563] -10.16
[2024-02-29 16:05:08.563] -4.50
[2024-02-29 16:05:08.563] -1.03
[2024-02-29 16:05:08.563] -2.84
[2024-02-29 16:05:08.563] -8.06
[2024-02-29 16:05:08.563] -12.59
[2024-02-29 16:05:08.563] -14.47
[2024-02-29 16:05:08.563] -13.94
[2024-02-29 16:05:08.587] -12.09
[2024-02-29 16:05:08.587] -9.97
[2024-02-29 16:05:08.587] -8.34
[2024-02-29 16:05:08.587] -8.16
[2024-02-29 16:05:08.587] -9.97
[2024-02-29 16:05:08.587] -11.72
[2024-02-29 16:05:08.587] -10.16
[2024-02-29 16:05:08.587] -4.53
[2024-02-29 16:05:08.587] 2.53
[2024-02-29 16:05:08.587] 7.84
[2024-02-29 16:05:08.587] 10.72
[2024-02-29 16:05:08.587] 11.63
[2024-02-29 16:05:08.587] 10.31
[2024-02-29 16:05:08.587] 6.94
[2024-02-29 16:05:08.587] 3.41
[2024-02-29 16:05:08.587] 1.78
[2024-02-29 16:05:08.587] 2.94
[2024-02-29 16:05:08.587] 5.56
[2024-02-29 16:05:08.587] 7.84
[2024-02-29 16:05:08.587] 7.94
[2024-02-29 16:05:08.587] 5.88
[2024-02-29 16:05:08.587] 3.94
[2024-02-29 16:05:08.587] 5.41
[2024-02-29 16:05:08.587] 10.81
[2024-02-29 16:05:08.587] 17.06
[2024-02-29 16:05:08.587] 20.41
[2024-02-29 16:05:08.587] 18.81
[2024-02-29 16:05:08.587] 12.38
[2024-02-29 16:05:08.587] 2.25
[2024-02-29 16:05:08.587] -9.28
[2024-02-29 16:05:08.587] -18.12
[2024-02-29 16:05:08.587] -20.62
[2024-02-29 16:05:08.587] -16.44
[2024-02-29 16:05:08.587] -8.75
[2024-02-29 16:05:08.587] -1.88
[2024-02-29 16:05:08.587] 1.78
[2024-02-29 16:05:08.587] 1.97
[2024-02-29 16:05:08.587] 0.28
[2024-02-29 16:05:08.587] -1.50
[2024-02-29 16:05:08.587] -2.72
[2024-02-29 16:05:08.587] -4.59
[2024-02-29 16:05:08.587] -8.94
[2024-02-29 16:05:08.587] -17.62
[2024-02-29 16:05:08.587] -31.31
[2024-02-29 16:05:08.587] -46.88
[2024-02-29 16:05:08.587] -58.63
[2024-02-29 16:05:08.587] -60.63
[2024-02-29 16:05:08.587] -52.16
[2024-02-29 16:05:08.587] -37.75
[2024-02-29 16:05:08.587] -23.47
[2024-02-29 16:05:08.587] -12.97
[2024-02-29 16:05:08.587] -5.03
[2024-02-29 16:05:08.587] 2.59
[2024-02-29 16:05:08.587] 10.53
[2024-02-29 16:05:08.587] 16.06
[2024-02-29 16:05:08.587] 16.94
[2024-02-29 16:05:08.587] 14.78
[2024-02-29 16:05:08.587] 13.63
[2024-02-29 16:05:08.587] 16.31
[2024-02-29 16:05:08.587] 21.47
[2024-02-29 16:05:08.587] 24.44
[2024-02-29 16:05:08.587] 21.66
[2024-02-29 16:05:08.587] 13.75
[2024-02-29 16:05:08.587] 4.59
[2024-02-29 16:05:08.587] -2.63
[2024-02-29 16:05:08.587] -6.13
[2024-02-29 16:05:08.587] -5.81
[2024-02-29 16:05:08.587] -2.59
[2024-02-29 16:05:08.587] 1.19
[2024-02-29 16:05:08.587] 3.03
[2024-02-29 16:05:08.587] 1.03
[2024-02-29 16:05:08.587] -3.56
[2024-02-29 16:05:08.587] -6.72
[2024-02-29 16:05:08.587] -5.16
[2024-02-29 16:05:08.587] -0.72
[2024-02-29 16:05:08.587] 1.75
[2024-02-29 16:05:08.587] -0.25
[2024-02-29 16:05:08.587] -4.84
[2024-02-29 16:05:08.587] -7.09
[2024-02-29 16:05:08.587] -3.34
[2024-02-29 16:05:08.587] 5.22
[2024-02-29 16:05:08.587] 13.59
[2024-02-29 16:05:08.587] 17.66
[2024-02-29 16:05:08.587] 15.78
[2024-02-29 16:05:08.587] 8.16
[2024-02-29 16:05:08.587] -3.56
[2024-02-29 16:05:08.587] -15.50
[2024-02-29 16:05:08.587] -22.03
[2024-02-29 16:05:08.587] -20.53
[2024-02-29 16:05:08.587] -14.34
[2024-02-29 16:05:08.587] -9.13
[2024-02-29 16:05:08.587] -6.84
[2024-02-29 16:05:08.587] -5.53
[2024-02-29 16:05:08.587] -2.91
[2024-02-29 16:05:08.587] 1.12
[2024-02-29 16:05:08.587] 4.50
[2024-02-29 16:05:08.587] 5.63
[2024-02-29 16:05:08.587] 4.66
[2024-02-29 16:05:08.587] 3.03
[2024-02-29 16:05:08.587] 2.66
[2024-02-29 16:05:08.587] 4.69
[2024-02-29 16:05:08.587] 9.06
[2024-02-29 16:05:08.587] 14.47
[2024-02-29 16:05:08.587] 18.97
[2024-02-29 16:05:08.587] 21.34
[2024-02-29 16:05:08.587] 21.84
[2024-02-29 16:05:08.587] 21.66
[2024-02-29 16:05:08.587] 22.37
[2024-02-29 16:05:08.587] 24.19
[2024-02-29 16:05:08.587] 25.72
[2024-02-29 16:05:08.587] 24.12
[2024-02-29 16:05:08.587] 18.97
[2024-02-29 16:05:08.587] 12.31
[2024-02-29 16:05:08.587] 7.69
[2024-02-29 16:05:08.587] 7.31
[2024-02-29 16:05:08.587] 10.41
[2024-02-29 16:05:08.587] 13.22
[2024-02-29 16:05:08.587] 12.31
[2024-02-29 16:05:08.587] 7.66
[2024-02-29 16:05:08.587] 2.91
[2024-02-29 16:05:08.587] 1.84
[2024-02-29 16:05:08.587] 6.28
[2024-02-29 16:05:08.587] 14.38
[2024-02-29 16:05:08.587] 20.47
[2024-02-29 16:05:08.587] 18.81
[2024-02-29 16:05:08.587] 9.13
[2024-02-29 16:05:08.587] -0.97
[2024-02-29 16:05:08.587] -2.63
[2024-02-29 16:05:08.587] 5.44
[2024-02-29 16:05:08.587] 15.75
[2024-02-29 16:05:08.587] 18.47
[2024-02-29 16:05:08.587] 9.81
[2024-02-29 16:05:08.587] -4.63
[2024-02-29 16:05:08.587] -14.22
[2024-02-29 16:05:08.587] -12.50
[2024-02-29 16:05:08.587] -2.25
[2024-02-29 16:05:08.587] 8.97
[2024-02-29 16:05:08.587] 15.13
[2024-02-29 16:05:08.587] 14.91
[2024-02-29 16:05:08.587] 10.28
[2024-02-29 16:05:08.587] 4.69
[2024-02-29 16:05:08.587] 0.69
[2024-02-29 16:05:08.587] -1.69
[2024-02-29 16:05:08.587] -4.28
[2024-02-29 16:05:08.587] -8.00
[2024-02-29 16:05:08.587] -11.72
[2024-02-29 16:05:08.587] -13.22
[2024-02-29 16:05:08.587] -12.34
[2024-02-29 16:05:08.603] -9.88
[2024-02-29 16:05:08.603] -7.44
[2024-02-29 16:05:08.603] -6.03
[2024-02-29 16:05:08.603] -6.25
[2024-02-29 16:05:08.603] -7.94
[2024-02-29 16:05:08.603] -9.28
[2024-02-29 16:05:08.603] -8.91
[2024-02-29 16:05:08.603] -8.28
[2024-02-29 16:05:08.603] -10.34
[2024-02-29 16:05:08.603] -14.81
[2024-02-29 16:05:08.603] -17.75
[2024-02-29 16:05:08.603] -16.28
[2024-02-29 16:05:08.603] -11.34
[2024-02-29 16:05:08.603] -5.59
[2024-02-29 16:05:08.603] -1.06
[2024-02-29 16:05:08.603] 1.75
[2024-02-29 16:05:08.603] 4.31
[2024-02-29 16:05:08.603] 10.97
[2024-02-29 16:05:08.603] 23.00
[2024-02-29 16:05:08.603] 33.97
[2024-02-29 16:05:08.603] 34.66
[2024-02-29 16:05:08.603] 23.19
[2024-02-29 16:05:08.603] 7.22
[2024-02-29 16:05:08.603] -4.19
[2024-02-29 16:05:08.603] -7.78
[2024-02-29 16:05:08.603] -6.72
[2024-02-29 16:05:08.603] -6.75
[2024-02-29 16:05:08.603] -12.69
[2024-02-29 16:05:08.603] -25.44
[2024-02-29 16:05:08.603] -42.78
[2024-02-29 16:05:08.603] -61.84
[2024-02-29 16:05:08.603] -80.62
[2024-02-29 16:05:08.603] -96.78
[2024-02-29 16:05:08.603] -106.12
[2024-02-29 16:05:08.603] -104.41
[2024-02-29 16:05:08.603] -93.31
[2024-02-29 16:05:08.603] -79.34
[2024-02-29 16:05:08.603] -69.06
[2024-02-29 16:05:08.603] -64.06
[2024-02-29 16:05:08.603] -61.97
[2024-02-29 16:05:08.603] -59.56
[2024-02-29 16:05:08.603] -54.88
[2024-02-29 16:05:08.603] -48.38
[2024-02-29 16:05:08.603] -41.84
[2024-02-29 16:05:08.603] -32.69
[2024-02-29 16:05:08.603] -6.28
[2024-02-29 16:05:08.603] 52.31
[2024-02-29 16:05:08.603] 130.72
[2024-02-29 16:05:08.603] 188.50
[2024-02-29 16:05:08.603] 194.31
[2024-02-29 16:05:08.603] 154.03
[2024-02-29 16:05:08.603] 101.66
[2024-02-29 16:05:08.603] 70.03
[2024-02-29 16:05:08.603] 69.03
[2024-02-29 16:05:08.603] 85.22
[2024-02-29 16:05:08.603] 98.31
[2024-02-29 16:05:08.603] 96.66
[2024-02-29 16:05:08.603] 82.53
[2024-02-29 16:05:08.603] 66.00
[2024-02-29 16:05:08.603] 55.63
[2024-02-29 16:05:08.603] 53.16
[2024-02-29 16:05:08.603] 54.50
[2024-02-29 16:05:08.603] 54.50
[2024-02-29 16:05:08.603] 50.72
[2024-02-29 16:05:08.603] 44.16
[2024-02-29 16:05:08.603] 37.63
[2024-02-29 16:05:08.603] 32.97
[2024-02-29 16:05:08.603] 30.47
[2024-02-29 16:05:08.603] 28.75
[2024-02-29 16:05:08.603] 26.66
[2024-02-29 16:05:08.603] 23.72
[2024-02-29 16:05:08.603] 20.19
[2024-02-29 16:05:08.603] 16.81
[2024-02-29 16:05:08.603] 14.13
[2024-02-29 16:05:08.603] 12.03
[2024-02-29 16:05:08.603] 10.25
[2024-02-29 16:05:08.603] 8.28
[2024-02-29 16:05:08.603] 6.25
[2024-02-29 16:05:08.603] 4.22
[2024-02-29 16:05:08.603] 2.41
[2024-02-29 16:05:08.603] 0.75
[2024-02-29 16:05:08.603] -0.69
[2024-02-29 16:05:08.603] -1.97
[2024-02-29 16:05:08.603] -3.25
[2024-02-29 16:05:08.603] -4.53
[2024-02-29 16:05:08.603] -5.69
[2024-02-29 16:05:08.603] -6.72
[2024-02-29 16:05:08.603] -7.69
[2024-02-29 16:05:08.603] -8.53
[2024-02-29 16:05:08.603] -9.28
[2024-02-29 16:05:08.603] -10.06
[2024-02-29 16:05:08.603] -10.75
[2024-02-29 16:05:08.603] -11.38
[2024-02-29 16:05:08.603] -11.78
[2024-02-29 16:05:08.603] -12.22
[2024-02-29 16:05:08.603] -12.66
[2024-02-29 16:05:08.603] -12.97
[2024-02-29 16:05:08.603] -13.19
[2024-02-29 16:05:08.603] -13.44
[2024-02-29 16:05:08.603] -13.50
[2024-02-29 16:05:08.603] -13.69
[2024-02-29 16:05:08.603] -13.81
[2024-02-29 16:05:08.603] -13.88
[2024-02-29 16:05:08.603] -13.81
[2024-02-29 16:05:08.603] -13.81
[2024-02-29 16:05:08.603] -13.66
[2024-02-29 16:05:08.603] -13.50
[2024-02-29 16:05:08.603] -13.38
[2024-02-29 16:05:08.603] -13.34
[2024-02-29 16:05:08.603] -13.13
[2024-02-29 16:05:08.603] -12.94
[2024-02-29 16:05:08.603] -12.69
[2024-02-29 16:05:08.603] -12.44
[2024-02-29 16:05:08.603] -12.16
[2024-02-29 16:05:08.603] -11.91
[2024-02-29 16:05:08.603] -11.66
[2024-02-29 16:05:08.603] -11.28
[2024-02-29 16:05:08.603] -11.00
[2024-02-29 16:05:08.603] -10.53
[2024-02-29 16:05:08.603] -10.13
[2024-02-29 16:05:08.603] -9.75
[2024-02-29 16:05:08.603] -9.34
[2024-02-29 16:05:08.603] -8.97
[2024-02-29 16:05:08.603] -8.56
[2024-02-29 16:05:08.603] -8.19
[2024-02-29 16:05:08.603] -7.97
[2024-02-29 16:05:08.603] -7.50
[2024-02-29 16:05:08.603] -7.00
[2024-02-29 16:05:08.603] -6.47
[2024-02-29 16:05:08.603] -6.09
[2024-02-29 16:05:08.603] -5.75
[2024-02-29 16:05:08.603] -5.38
[2024-02-29 16:05:08.603] -4.97
[2024-02-29 16:05:08.603] -4.50
[2024-02-29 16:05:08.603] -4.00
[2024-02-29 16:05:08.603] -3.47
[2024-02-29 16:05:08.603] -3.13
[2024-02-29 16:05:08.603] -2.78
[2024-02-29 16:05:08.619] -2.44
[2024-02-29 16:05:08.619] -2.00
[2024-02-29 16:05:08.619] -1.63
[2024-02-29 16:05:08.619] -1.25
[2024-02-29 16:05:08.619] -0.88
[2024-02-29 16:05:08.619] -0.47
[2024-02-29 16:05:08.619] -0.16
[2024-02-29 16:05:08.619] 0.19
[2024-02-29 16:05:08.619] 0.50
[2024-02-29 16:05:08.619] 0.94
[2024-02-29 16:05:08.619] 1.31
[2024-02-29 16:05:08.619] 1.69
[2024-02-29 16:05:08.619] 1.94
[2024-02-29 16:05:08.619] 2.22
[2024-02-29 16:05:08.619] 2.47
[2024-02-29 16:05:08.619] 2.81
[2024-02-29 16:05:08.619] 3.06
[2024-02-29 16:05:08.619] 3.34
[2024-02-29 16:05:08.619] 3.63
[2024-02-29 16:05:08.619] 3.97
[2024-02-29 16:05:08.619] 4.19
[2024-02-29 16:05:08.619] 4.47
[2024-02-29 16:05:08.619] 4.63
[2024-02-29 16:05:08.619] 4.84
[2024-02-29 16:05:08.619] 4.91
[2024-02-29 16:05:08.619] 5.03
[2024-02-29 16:05:08.619] 5.34
[2024-02-29 16:05:08.619] 5.72
[2024-02-29 16:05:08.619] 5.97
[2024-02-29 16:05:08.619] 6.09
[2024-02-29 16:05:08.619] 6.22
[2024-02-29 16:05:08.619] 6.25
[2024-02-29 16:05:08.619] 6.22
[2024-02-29 16:05:08.619] 6.38
[2024-02-29 16:05:08.619] 6.59
[2024-02-29 16:05:08.619] 6.84
[2024-02-29 16:05:08.619] 7.06
[2024-02-29 16:05:08.619] 7.09
[2024-02-29 16:05:08.619] 7.06
[2024-02-29 16:05:08.619] 7.09
[2024-02-29 16:05:08.619] 7.09
[2024-02-29 16:05:08.619] 7.19
[2024-02-29 16:05:08.619] 7.31
[2024-02-29 16:05:08.619] 7.38
[2024-02-29 16:05:08.619] 7.34
[2024-02-29 16:05:08.619] 7.28
[2024-02-29 16:05:08.619] 7.31
[2024-02-29 16:05:08.619] 7.38
[2024-02-29 16:05:08.619] 7.34
[2024-02-29 16:05:08.619] 7.44
[2024-02-29 16:05:08.619] 7.47
[2024-02-29 16:05:08.619] 7.53
[2024-02-29 16:05:08.619] 7.53
[2024-02-29 16:05:08.619] 7.56
[2024-02-29 16:05:08.619] 7.44
[2024-02-29 16:05:08.619] 7.38
[2024-02-29 16:05:08.619] 7.34
[2024-02-29 16:05:08.619] 7.34
[2024-02-29 16:05:08.619] 7.34
[2024-02-29 16:05:08.619] 7.38
[2024-02-29 16:05:08.619] 7.22
[2024-02-29 16:05:08.619] 7.16
[2024-02-29 16:05:08.619] 6.97
[2024-02-29 16:05:08.619] 6.81
[2024-02-29 16:05:08.619] 6.84
[2024-02-29 16:05:08.619] 6.75
[2024-02-29 16:05:08.619] 6.75
[2024-02-29 16:05:08.619] 6.59
[2024-02-29 16:05:08.619] 6.53
[2024-02-29 16:05:08.619] 6.41
[2024-02-29 16:05:08.619] 6.34
[2024-02-29 16:05:08.619] 6.22
[2024-02-29 16:05:08.619] 6.06
[2024-02-29 16:05:08.619] 6.00
[2024-02-29 16:05:08.619] 5.91
[2024-02-29 16:05:08.619] 5.84
[2024-02-29 16:05:08.619] 5.81
[2024-02-29 16:05:08.619] 5.72
[2024-02-29 16:05:08.619] 5.59
[2024-02-29 16:05:08.619] 5.53
[2024-02-29 16:05:08.619] 5.53
[2024-02-29 16:05:08.619] 5.50
[2024-02-29 16:05:08.619] 5.31
[2024-02-29 16:05:08.619] 5.13
[2024-02-29 16:05:08.619] 4.84
[2024-02-29 16:05:08.619] 4.69
[2024-02-29 16:05:08.619] 4.66
[2024-02-29 16:05:08.619] 4.63
[2024-02-29 16:05:08.619] 4.50
[2024-02-29 16:05:08.619] 4.38
[2024-02-29 16:05:08.619] 4.28
[2024-02-29 16:05:08.619] 4.19
[2024-02-29 16:05:08.619] 4.00
[2024-02-29 16:05:08.619] 3.88
[2024-02-29 16:05:08.619] 3.69
[2024-02-29 16:05:08.619] 3.59
[2024-02-29 16:05:08.619] 3.47
[2024-02-29 16:05:08.619] 3.34
[2024-02-29 16:05:08.619] 3.34
[2024-02-29 16:05:08.619] 3.28
[2024-02-29 16:05:08.619] 3.13
[2024-02-29 16:05:08.619] 3.06
[2024-02-29 16:05:08.619] 2.81
[2024-02-29 16:05:08.619] 2.75
[2024-02-29 16:05:08.619] 2.56
[2024-02-29 16:05:08.619] 2.47
[2024-02-29 16:05:08.619] 2.41
[2024-02-29 16:05:08.619] 2.25
[2024-02-29 16:05:08.619] 2.19
[2024-02-29 16:05:08.619] 2.06
[2024-02-29 16:05:08.619] 1.88
[2024-02-29 16:05:08.619] 1.72
[2024-02-29 16:05:08.619] 1.50
[2024-02-29 16:05:08.619] 1.47
[2024-02-29 16:05:08.619] 1.34
[2024-02-29 16:05:08.619] 1.31
[2024-02-29 16:05:08.619] 1.25
[2024-02-29 16:05:08.619] 1.09
[2024-02-29 16:05:08.619] 1.03
[2024-02-29 16:05:08.619] 0.91
[2024-02-29 16:05:08.619] 0.78
[2024-02-29 16:05:08.619] 0.72
[2024-02-29 16:05:08.619] 0.59
[2024-02-29 16:05:08.619] 0.59
[2024-02-29 16:05:08.619] 0.44
[2024-02-29 16:05:08.619] 0.37
[2024-02-29 16:05:08.619] 0.34
[2024-02-29 16:05:08.619] 0.22
[2024-02-29 16:05:08.619] 0.16
[2024-02-29 16:05:08.619] 0.03
[2024-02-29 16:05:08.619] 0.00
[2024-02-29 16:05:08.619] -0.19
[2024-02-29 16:05:08.619] -0.25
[2024-02-29 16:05:08.619] -0.47
[2024-02-29 16:05:08.619] -0.53
[2024-02-29 16:05:08.619] -0.59
[2024-02-29 16:05:08.619] -0.59
[2024-02-29 16:05:08.619] -0.63
[2024-02-29 16:05:08.619] -0.75
[2024-02-29 16:05:08.619] -0.78
[2024-02-29 16:05:08.619] -0.84
[2024-02-29 16:05:08.619] -0.91
[2024-02-29 16:05:08.619] -0.94
[2024-02-29 16:05:08.619] -1.06
[2024-02-29 16:05:08.619] -1.16
[2024-02-29 16:05:08.619] -1.25
[2024-02-29 16:05:08.619] -1.37
[2024-02-29 16:05:08.619] -1.34
[2024-02-29 16:05:08.619] -1.34
[2024-02-29 16:05:08.619] -1.31
[2024-02-29 16:05:08.619] -1.31
[2024-02-29 16:05:08.619] -1.31
[2024-02-29 16:05:08.619] -1.50
[2024-02-29 16:05:08.619] -1.59
[2024-02-29 16:05:08.619] -1.75
[2024-02-29 16:05:08.619] -1.84
[2024-02-29 16:05:08.619] -1.81
[2024-02-29 16:05:08.619] -1.81
[2024-02-29 16:05:08.619] -1.78
[2024-02-29 16:05:08.619] -1.81
[2024-02-29 16:05:08.619] -1.88
[2024-02-29 16:05:08.619] -1.97
[2024-02-29 16:05:08.635] -2.03
[2024-02-29 16:05:08.635] -2.00
[2024-02-29 16:05:08.635] -2.03
[2024-02-29 16:05:08.635] -2.06
[2024-02-29 16:05:08.635] -2.13
[2024-02-29 16:05:08.635] -2.19
[2024-02-29 16:05:08.635] -2.16
[2024-02-29 16:05:08.635] -2.25
[2024-02-29 16:05:08.635] -2.19
[2024-02-29 16:05:08.635] -2.19
[2024-02-29 16:05:08.635] -2.31
[2024-02-29 16:05:08.635] -2.34
[2024-02-29 16:05:08.635] -2.28
[2024-02-29 16:05:08.635] -2.34
[2024-02-29 16:05:08.635] -2.38
[2024-02-29 16:05:08.635] -2.44
[2024-02-29 16:05:08.635] -2.44
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -2.47
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -2.47
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -2.56
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.56
[2024-02-29 16:05:08.635] -2.59
[2024-02-29 16:05:08.635] -2.56
[2024-02-29 16:05:08.635] -2.56
[2024-02-29 16:05:08.635] -2.59
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.47
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.56
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.53
[2024-02-29 16:05:08.635] -2.50
[2024-02-29 16:05:08.635] -6.03
[2024-02-29 16:05:08.635] -26.31
[2024-02-29 16:05:08.635] -77.75
[2024-02-29 16:05:08.635] -150.50
[2024-02-29 16:05:08.635] -207.31
[2024-02-29 16:05:08.635] -215.97
[2024-02-29 16:05:08.635] -177.78
[2024-02-29 16:05:08.635] -123.69
[2024-02-29 16:05:08.635] -86.59
[2024-02-29 16:05:08.635] -79.16
[2024-02-29 16:05:08.635] -90.75
[2024-02-29 16:05:08.635] -101.72
[2024-02-29 16:05:08.635] -99.56
[2024-02-29 16:05:08.635] -84.78
[2024-02-29 16:05:08.635] -66.50
[2024-02-29 16:05:08.635] -53.47
[2024-02-29 16:05:08.635] -48.28
[2024-02-29 16:05:08.635] -47.69
[2024-02-29 16:05:08.635] -46.41
[2024-02-29 16:05:08.635] -41.72
[2024-02-29 16:05:08.635] -34.31
[2024-02-29 16:05:08.635] -26.66
[2024-02-29 16:05:08.635] -20.75
[2024-02-29 16:05:08.635] -16.94
[2024-02-29 16:05:08.635] -14.34
[2024-02-29 16:05:08.635] -11.53
[2024-02-29 16:05:08.635] -7.97
[2024-02-29 16:05:08.635] -3.94
[2024-02-29 16:05:08.635] -0.09
