[2024-02-29 13:45:19.619] 
[2024-02-29 13:45:19.650] 8.09
[2024-02-29 13:45:19.650] 1.78
[2024-02-29 13:45:19.650] -9.66
[2024-02-29 13:45:19.650] -10.44
[2024-02-29 13:45:19.650] 0.81
[2024-02-29 13:45:19.650] 9.72
[2024-02-29 13:45:19.650] 4.03
[2024-02-29 13:45:19.650] -8.56
[2024-02-29 13:45:19.650] -10.97
[2024-02-29 13:45:19.650] -0.19
[2024-02-29 13:45:19.650] 9.75
[2024-02-29 13:45:19.650] 5.38
[2024-02-29 13:45:19.650] -7.22
[2024-02-29 13:45:19.650] -10.53
[2024-02-29 13:45:19.650] -0.22
[2024-02-29 13:45:19.650] 9.97
[2024-02-29 13:45:19.650] 5.84
[2024-02-29 13:45:19.650] -7.38
[2024-02-29 13:45:19.650] -11.56
[2024-02-29 13:45:19.650] -1.06
[2024-02-29 13:45:19.650] 10.38
[2024-02-29 13:45:19.650] 6.91
[2024-02-29 13:45:19.650] -7.41
[2024-02-29 13:45:19.650] -13.28
[2024-02-29 13:45:19.650] -3.47
[2024-02-29 13:45:19.650] 8.63
[2024-02-29 13:45:19.650] 5.81
[2024-02-29 13:45:19.650] -8.34
[2024-02-29 13:45:19.650] -14.06
[2024-02-29 13:45:19.650] -3.41
[2024-02-29 13:45:19.650] 10.72
[2024-02-29 13:45:19.650] 11.34
[2024-02-29 13:45:19.650] 0.12
[2024-02-29 13:45:19.650] -6.00
[2024-02-29 13:45:19.650] 1.19
[2024-02-29 13:45:19.650] 12.91
[2024-02-29 13:45:19.650] 14.41
[2024-02-29 13:45:19.650] 4.72
[2024-02-29 13:45:19.650] -2.97
[2024-02-29 13:45:19.650] 0.53
[2024-02-29 13:45:19.650] 10.69
[2024-02-29 13:45:19.650] 15.38
[2024-02-29 13:45:19.650] 9.97
[2024-02-29 13:45:19.650] 2.94
[2024-02-29 13:45:19.650] 3.06
[2024-02-29 13:45:19.650] 10.56
[2024-02-29 13:45:19.650] 15.91
[2024-02-29 13:45:19.650] 12.00
[2024-02-29 13:45:19.650] 3.66
[2024-02-29 13:45:19.650] 0.34
[2024-02-29 13:45:19.650] 6.00
[2024-02-29 13:45:19.650] 13.66
[2024-02-29 13:45:19.650] 13.63
[2024-02-29 13:45:19.650] 6.41
[2024-02-29 13:45:19.650] 0.50
[2024-02-29 13:45:19.650] 3.03
[2024-02-29 13:45:19.650] 9.69
[2024-02-29 13:45:19.650] 10.44
[2024-02-29 13:45:19.650] 3.72
[2024-02-29 13:45:19.650] -3.31
[2024-02-29 13:45:19.650] -2.31
[2024-02-29 13:45:19.650] 4.84
[2024-02-29 13:45:19.650] 8.75
[2024-02-29 13:45:19.650] 5.06
[2024-02-29 13:45:19.650] -0.91
[2024-02-29 13:45:19.650] 0.25
[2024-02-29 13:45:19.650] 8.34
[2024-02-29 13:45:19.650] 12.78
[2024-02-29 13:45:19.650] 7.28
[2024-02-29 13:45:19.650] -1.94
[2024-02-29 13:45:19.650] -2.63
[2024-02-29 13:45:19.650] 6.69
[2024-02-29 13:45:19.650] 13.44
[2024-02-29 13:45:19.650] 8.56
[2024-02-29 13:45:19.650] -2.22
[2024-02-29 13:45:19.650] -4.44
[2024-02-29 13:45:19.650] 5.00
[2024-02-29 13:45:19.650] 13.09
[2024-02-29 13:45:19.650] 8.59
[2024-02-29 13:45:19.650] -3.44
[2024-02-29 13:45:19.650] -7.25
[2024-02-29 13:45:19.650] 2.56
[2024-02-29 13:45:19.650] 12.50
[2024-02-29 13:45:19.650] 9.09
[2024-02-29 13:45:19.650] -4.84
[2024-02-29 13:45:19.650] -12.31
[2024-02-29 13:45:19.650] -4.31
[2024-02-29 13:45:19.650] 7.78
[2024-02-29 13:45:19.650] 8.63
[2024-02-29 13:45:19.650] -2.19
[2024-02-29 13:45:19.650] -9.06
[2024-02-29 13:45:19.650] -2.06
[2024-02-29 13:45:19.681] 8.47
[2024-02-29 13:45:19.681] 7.88
[2024-02-29 13:45:19.681] -4.22
[2024-02-29 13:45:19.681] -11.69
[2024-02-29 13:45:19.681] -4.16
[2024-02-29 13:45:19.681] 7.84
[2024-02-29 13:45:19.681] 8.34
[2024-02-29 13:45:19.681] -3.25
[2024-02-29 13:45:19.681] -10.59
[2024-02-29 13:45:19.681] -3.28
[2024-02-29 13:45:19.681] 8.00
[2024-02-29 13:45:19.681] 7.41
[2024-02-29 13:45:19.681] -5.81
[2024-02-29 13:45:19.681] -15.06
[2024-02-29 13:45:19.681] -8.59
[2024-02-29 13:45:19.681] 4.41
[2024-02-29 13:45:19.681] 7.06
[2024-02-29 13:45:19.681] -3.63
[2024-02-29 13:45:19.681] -12.72
[2024-02-29 13:45:19.681] -7.72
[2024-02-29 13:45:19.681] 3.78
[2024-02-29 13:45:19.681] 5.88
[2024-02-29 13:45:19.681] -5.09
[2024-02-29 13:45:19.681] -14.78
[2024-02-29 13:45:19.681] -10.25
[2024-02-29 13:45:19.681] 2.09
[2024-02-29 13:45:19.681] 6.16
[2024-02-29 13:45:19.681] -3.47
[2024-02-29 13:45:19.681] -13.50
[2024-02-29 13:45:19.681] -10.31
[2024-02-29 13:45:19.681] 1.25
[2024-02-29 13:45:19.681] 5.91
[2024-02-29 13:45:19.681] -2.75
[2024-02-29 13:45:19.681] -12.53
[2024-02-29 13:45:19.681] -9.84
[2024-02-29 13:45:19.681] 1.50
[2024-02-29 13:45:19.681] 6.25
[2024-02-29 13:45:19.681] -2.66
[2024-02-29 13:45:19.681] -14.03
[2024-02-29 13:45:19.681] -12.41
[2024-02-29 13:45:19.681] -0.34
[2024-02-29 13:45:19.681] 7.06
[2024-02-29 13:45:19.681] 0.56
[2024-02-29 13:45:19.681] -9.91
[2024-02-29 13:45:19.681] -9.47
[2024-02-29 13:45:19.681] 0.97
[2024-02-29 13:45:19.681] 7.03
[2024-02-29 13:45:19.681] -0.03
[2024-02-29 13:45:19.681] -10.81
[2024-02-29 13:45:19.681] -10.16
[2024-02-29 13:45:19.681] 1.09
[2024-02-29 13:45:19.681] 8.38
[2024-02-29 13:45:19.681] 1.78
[2024-02-29 13:45:19.681] -9.50
[2024-02-29 13:45:19.681] -9.91
[2024-02-29 13:45:19.681] 1.06
[2024-02-29 13:45:19.681] 9.03
[2024-02-29 13:45:19.681] 3.25
[2024-02-29 13:45:19.681] -7.91
[2024-02-29 13:45:19.681] -8.75
[2024-02-29 13:45:19.681] 1.66
[2024-02-29 13:45:19.681] 9.25
[2024-02-29 13:45:19.681] 2.59
[2024-02-29 13:45:19.681] -10.41
[2024-02-29 13:45:19.681] -12.47
[2024-02-29 13:45:19.681] -0.88
[2024-02-29 13:45:19.681] 9.81
[2024-02-29 13:45:19.681] 5.59
[2024-02-29 13:45:19.681] -7.44
[2024-02-29 13:45:19.681] -11.22
[2024-02-29 13:45:19.681] -1.06
[2024-02-29 13:45:19.681] 9.31
[2024-02-29 13:45:19.681] 4.94
[2024-02-29 13:45:19.681] -9.19
[2024-02-29 13:45:19.681] -14.13
[2024-02-29 13:45:19.681] -3.06
[2024-02-29 13:45:19.681] 10.00
[2024-02-29 13:45:19.681] 7.63
[2024-02-29 13:45:19.681] -6.88
[2024-02-29 13:45:19.681] -13.69
[2024-02-29 13:45:19.681] -3.78
[2024-02-29 13:45:19.681] 9.88
[2024-02-29 13:45:19.681] 8.53
[2024-02-29 13:45:19.681] -6.09
[2024-02-29 13:45:19.681] -13.78
[2024-02-29 13:45:19.681] -4.44
[2024-02-29 13:45:19.681] 9.38
[2024-02-29 13:45:19.681] 8.34
[2024-02-29 13:45:19.681] -6.22
[2024-02-29 13:45:19.681] -13.69
[2024-02-29 13:45:19.681] -3.09
[2024-02-29 13:45:19.681] 14.41
[2024-02-29 13:45:19.681] 18.59
[2024-02-29 13:45:19.681] 6.09
[2024-02-29 13:45:19.681] -6.09
[2024-02-29 13:45:19.681] -3.53
[2024-02-29 13:45:19.681] 9.94
[2024-02-29 13:45:19.681] 17.87
[2024-02-29 13:45:19.681] 11.91
[2024-02-29 13:45:19.681] 1.88
[2024-02-29 13:45:19.681] 0.88
[2024-02-29 13:45:19.681] 10.63
[2024-02-29 13:45:19.681] 18.94
[2024-02-29 13:45:19.681] 15.06
[2024-02-29 13:45:19.681] 4.38
[2024-02-29 13:45:19.681] -0.59
[2024-02-29 13:45:19.681] 6.38
[2024-02-29 13:45:19.681] 16.47
[2024-02-29 13:45:19.681] 17.06
[2024-02-29 13:45:19.681] 8.03
[2024-02-29 13:45:19.681] 0.16
[2024-02-29 13:45:19.681] 3.00
[2024-02-29 13:45:19.681] 12.09
[2024-02-29 13:45:19.681] 14.59
[2024-02-29 13:45:19.681] 7.25
[2024-02-29 13:45:19.681] -0.63
[2024-02-29 13:45:19.681] 2.16
[2024-02-29 13:45:19.681] 12.66
[2024-02-29 13:45:19.681] 16.81
[2024-02-29 13:45:19.681] 8.72
[2024-02-29 13:45:19.681] -2.31
[2024-02-29 13:45:19.681] -2.25
[2024-02-29 13:45:19.681] 9.09
[2024-02-29 13:45:19.681] 16.41
[2024-02-29 13:45:19.681] 10.03
[2024-02-29 13:45:19.681] -2.59
[2024-02-29 13:45:19.681] -5.69
[2024-02-29 13:45:19.681] 4.19
[2024-02-29 13:45:19.681] 13.09
[2024-02-29 13:45:19.681] 9.41
[2024-02-29 13:45:19.681] -1.84
[2024-02-29 13:45:19.681] -4.50
[2024-02-29 13:45:19.681] 5.59
[2024-02-29 13:45:19.681] 14.13
[2024-02-29 13:45:19.681] 8.78
[2024-02-29 13:45:19.681] -5.28
[2024-02-29 13:45:19.681] -10.34
[2024-02-29 13:45:19.681] 0.19
[2024-02-29 13:45:19.681] 11.88
[2024-02-29 13:45:19.681] 9.75
[2024-02-29 13:45:19.681] -2.88
[2024-02-29 13:45:19.681] -7.94
[2024-02-29 13:45:19.681] 2.22
[2024-02-29 13:45:19.681] 13.16
[2024-02-29 13:45:19.681] 9.09
[2024-02-29 13:45:19.681] -6.91
[2024-02-29 13:45:19.681] -15.38
[2024-02-29 13:45:19.681] -6.19
[2024-02-29 13:45:19.681] 7.72
[2024-02-29 13:45:19.681] 8.47
[2024-02-29 13:45:19.695] -4.06
[2024-02-29 13:45:19.695] -12.41
[2024-02-29 13:45:19.695] -5.25
[2024-02-29 13:45:19.695] 6.25
[2024-02-29 13:45:19.695] 6.00
[2024-02-29 13:45:19.695] -6.69
[2024-02-29 13:45:19.695] -15.00
[2024-02-29 13:45:19.695] -7.84
[2024-02-29 13:45:19.695] 4.59
[2024-02-29 13:45:19.695] 5.75
[2024-02-29 13:45:19.695] -6.22
[2024-02-29 13:45:19.695] -15.22
[2024-02-29 13:45:19.695] -9.34
[2024-02-29 13:45:19.695] 2.84
[2024-02-29 13:45:19.695] 5.19
[2024-02-29 13:45:19.695] -5.59
[2024-02-29 13:45:19.695] -14.53
[2024-02-29 13:45:19.695] -9.34
[2024-02-29 13:45:19.695] 2.50
[2024-02-29 13:45:19.695] 5.13
[2024-02-29 13:45:19.695] -5.25
[2024-02-29 13:45:19.695] -14.66
[2024-02-29 13:45:19.695] -10.09
[2024-02-29 13:45:19.695] 1.91
[2024-02-29 13:45:19.695] 5.47
[2024-02-29 13:45:19.695] -4.41
[2024-02-29 13:45:19.695] -14.66
[2024-02-29 13:45:19.695] -11.22
[2024-02-29 13:45:19.695] 0.84
[2024-02-29 13:45:19.695] 5.84
[2024-02-29 13:45:19.695] -3.00
[2024-02-29 13:45:19.695] -13.69
[2024-02-29 13:45:19.695] -11.72
[2024-02-29 13:45:19.695] 0.09
[2024-02-29 13:45:19.695] 5.97
[2024-02-29 13:45:19.695] -2.38
[2024-02-29 13:45:19.695] -14.44
[2024-02-29 13:45:19.695] -14.06
[2024-02-29 13:45:19.695] -1.94
[2024-02-29 13:45:19.695] 6.59
[2024-02-29 13:45:19.695] 0.97
[2024-02-29 13:45:19.695] -10.19
[2024-02-29 13:45:19.695] -10.81
[2024-02-29 13:45:19.695] -0.34
[2024-02-29 13:45:19.695] 7.16
[2024-02-29 13:45:19.695] 1.47
[2024-02-29 13:45:19.695] -9.34
[2024-02-29 13:45:19.695] -9.69
[2024-02-29 13:45:19.695] 0.94
[2024-02-29 13:45:19.695] 8.59
[2024-02-29 13:45:19.695] 2.69
[2024-02-29 13:45:19.695] -8.69
[2024-02-29 13:45:19.695] -9.63
[2024-02-29 13:45:19.695] 1.19
[2024-02-29 13:45:19.695] 9.38
[2024-02-29 13:45:19.695] 2.66
[2024-02-29 13:45:19.695] -11.09
[2024-02-29 13:45:19.695] -13.94
[2024-02-29 13:45:19.695] -2.06
[2024-02-29 13:45:19.695] 9.72
[2024-02-29 13:45:19.695] 6.41
[2024-02-29 13:45:19.695] -6.94
[2024-02-29 13:45:19.695] -11.75
[2024-02-29 13:45:19.695] -1.91
[2024-02-29 13:45:19.695] 9.50
[2024-02-29 13:45:19.695] 6.81
[2024-02-29 13:45:19.695] -5.78
[2024-02-29 13:45:19.695] -10.38
[2024-02-29 13:45:19.695] -0.66
[2024-02-29 13:45:19.695] 10.44
[2024-02-29 13:45:19.695] 6.88
[2024-02-29 13:45:19.695] -7.28
[2024-02-29 13:45:19.695] -12.72
[2024-02-29 13:45:19.695] -2.06
[2024-02-29 13:45:19.695] 11.34
[2024-02-29 13:45:19.695] 9.31
[2024-02-29 13:45:19.695] -5.56
[2024-02-29 13:45:19.695] -13.13
[2024-02-29 13:45:19.695] -3.38
[2024-02-29 13:45:19.695] 10.63
[2024-02-29 13:45:19.695] 9.91
[2024-02-29 13:45:19.695] -4.19
[2024-02-29 13:45:19.695] -11.66
[2024-02-29 13:45:19.695] -2.13
[2024-02-29 13:45:19.695] 12.59
[2024-02-29 13:45:19.695] 12.66
[2024-02-29 13:45:19.695] -2.13
[2024-02-29 13:45:19.695] -11.63
[2024-02-29 13:45:19.695] -3.63
[2024-02-29 13:45:19.695] 13.16
[2024-02-29 13:45:19.695] 20.59
[2024-02-29 13:45:19.695] 13.97
[2024-02-29 13:45:19.695] 4.75
[2024-02-29 13:45:19.695] 3.75
[2024-02-29 13:45:19.695] 9.78
[2024-02-29 13:45:19.695] 11.91
[2024-02-29 13:45:19.695] 5.34
[2024-02-29 13:45:19.695] -1.78
[2024-02-29 13:45:19.695] 0.19
[2024-02-29 13:45:19.695] 10.78
[2024-02-29 13:45:19.695] 18.56
[2024-02-29 13:45:19.695] 14.56
[2024-02-29 13:45:19.695] 4.03
[2024-02-29 13:45:19.695] -0.91
[2024-02-29 13:45:19.695] 5.81
[2024-02-29 13:45:19.695] 15.94
[2024-02-29 13:45:19.695] 16.72
[2024-02-29 13:45:19.695] 7.66
[2024-02-29 13:45:19.695] -0.47
[2024-02-29 13:45:19.695] 2.47
[2024-02-29 13:45:19.695] 12.06
[2024-02-29 13:45:19.695] 15.09
[2024-02-29 13:45:19.695] 7.50
[2024-02-29 13:45:19.695] -1.28
[2024-02-29 13:45:19.695] 0.75
[2024-02-29 13:45:19.695] 11.53
[2024-02-29 13:45:19.695] 16.66
[2024-02-29 13:45:19.695] 9.22
[2024-02-29 13:45:19.695] -1.88
[2024-02-29 13:45:19.695] -1.84
[2024-02-29 13:45:19.695] 9.91
[2024-02-29 13:45:19.695] 17.53
[2024-02-29 13:45:19.695] 10.84
[2024-02-29 13:45:19.695] -2.72
[2024-02-29 13:45:19.695] -6.06
[2024-02-29 13:45:19.695] 4.66
[2024-02-29 13:45:19.695] 14.16
[2024-02-29 13:45:19.695] 9.94
[2024-02-29 13:45:19.695] -2.50
[2024-02-29 13:45:19.695] -5.78
[2024-02-29 13:45:19.695] 4.94
[2024-02-29 13:45:19.695] 14.44
[2024-02-29 13:45:19.695] 9.13
[2024-02-29 13:45:19.695] -6.03
[2024-02-29 13:45:19.695] -12.31
[2024-02-29 13:45:19.695] -2.00
[2024-02-29 13:45:19.695] 10.59
[2024-02-29 13:45:19.695] 9.25
[2024-02-29 13:45:19.696] -3.84
[2024-02-29 13:45:19.696] -10.53
[2024-02-29 13:45:19.696] -1.56
[2024-02-29 13:45:19.696] 10.00
[2024-02-29 13:45:19.696] 7.94
[2024-02-29 13:45:19.696] -6.06
[2024-02-29 13:45:19.696] -13.81
[2024-02-29 13:45:19.696] -5.19
[2024-02-29 13:45:19.696] 7.41
[2024-02-29 13:45:19.696] 7.19
[2024-02-29 13:45:19.696] -5.44
[2024-02-29 13:45:19.711] -12.94
[2024-02-29 13:45:19.711] -5.09
[2024-02-29 13:45:19.711] 6.75
[2024-02-29 13:45:19.711] 5.88
[2024-02-29 13:45:19.711] -7.84
[2024-02-29 13:45:19.711] -17.28
[2024-02-29 13:45:19.711] -10.41
[2024-02-29 13:45:19.711] 2.91
[2024-02-29 13:45:19.711] 5.63
[2024-02-29 13:45:19.711] -5.47
[2024-02-29 13:45:19.711] -14.53
[2024-02-29 13:45:19.711] -9.44
[2024-02-29 13:45:19.711] 2.19
[2024-02-29 13:45:19.711] 4.41
[2024-02-29 13:45:19.711] -6.19
[2024-02-29 13:45:19.711] -15.22
[2024-02-29 13:45:19.711] -10.22
[2024-02-29 13:45:19.711] 1.78
[2024-02-29 13:45:19.711] 5.06
[2024-02-29 13:45:19.711] -4.78
[2024-02-29 13:45:19.711] -13.97
[2024-02-29 13:45:19.711] -9.75
[2024-02-29 13:45:19.711] 1.94
[2024-02-29 13:45:19.711] 5.38
[2024-02-29 13:45:19.711] -4.38
[2024-02-29 13:45:19.711] -14.38
[2024-02-29 13:45:19.711] -10.88
[2024-02-29 13:45:19.711] 1.12
[2024-02-29 13:45:19.711] 5.97
[2024-02-29 13:45:19.711] -3.13
[2024-02-29 13:45:19.711] -14.28
[2024-02-29 13:45:19.711] -12.47
[2024-02-29 13:45:19.711] -0.44
[2024-02-29 13:45:19.712] 6.41
[2024-02-29 13:45:19.712] -0.66
[2024-02-29 13:45:19.712] -11.16
[2024-02-29 13:45:19.712] -10.31
[2024-02-29 13:45:19.712] 0.50
[2024-02-29 13:45:19.712] 6.72
[2024-02-29 13:45:19.712] -0.63
[2024-02-29 13:45:19.712] -11.75
[2024-02-29 13:45:19.712] -11.31
[2024-02-29 13:45:19.712] 0.25
[2024-02-29 13:45:19.712] 8.03
[2024-02-29 13:45:19.712] 1.94
[2024-02-29 13:45:19.712] -9.22
[2024-02-29 13:45:19.712] -9.81
[2024-02-29 13:45:19.712] 0.75
[2024-02-29 13:45:19.712] 8.34
[2024-02-29 13:45:19.712] 1.81
[2024-02-29 13:45:19.712] -10.59
[2024-02-29 13:45:19.712] -12.06
[2024-02-29 13:45:19.712] -0.63
[2024-02-29 13:45:19.712] 9.31
[2024-02-29 13:45:19.712] 4.44
[2024-02-29 13:45:19.712] -8.56
[2024-02-29 13:45:19.712] -11.84
[2024-02-29 13:45:19.712] -1.22
[2024-02-29 13:45:19.712] 9.31
[2024-02-29 13:45:19.712] 5.25
[2024-02-29 13:45:19.712] -7.88
[2024-02-29 13:45:19.712] -11.94
[2024-02-29 13:45:19.712] -1.47
[2024-02-29 13:45:19.712] 9.94
[2024-02-29 13:45:19.712] 7.03
[2024-02-29 13:45:19.712] -6.16
[2024-02-29 13:45:19.712] -11.03
[2024-02-29 13:45:19.712] -1.09
[2024-02-29 13:45:19.712] 10.56
[2024-02-29 13:45:19.712] 7.75
[2024-02-29 13:45:19.712] -5.91
[2024-02-29 13:45:19.712] -11.53
[2024-02-29 13:45:19.712] -1.41
[2024-02-29 13:45:19.712] 11.13
[2024-02-29 13:45:19.712] 8.53
[2024-02-29 13:45:19.712] -6.31
[2024-02-29 13:45:19.712] -13.44
[2024-02-29 13:45:19.712] -3.56
[2024-02-29 13:45:19.712] 10.19
[2024-02-29 13:45:19.712] 8.97
[2024-02-29 13:45:19.712] -5.44
[2024-02-29 13:45:19.712] -12.69
[2024-02-29 13:45:19.712] -2.34
[2024-02-29 13:45:19.712] 12.63
[2024-02-29 13:45:19.712] 12.19
[2024-02-29 13:45:19.712] -2.88
[2024-02-29 13:45:19.712] -12.13
[2024-02-29 13:45:19.712] -3.00
[2024-02-29 13:45:19.712] 15.53
[2024-02-29 13:45:19.712] 24.47
[2024-02-29 13:45:19.712] 16.50
[2024-02-29 13:45:19.712] 3.53
[2024-02-29 13:45:19.712] -0.37
[2024-02-29 13:45:19.712] 6.94
[2024-02-29 13:45:19.712] 14.75
[2024-02-29 13:45:19.712] 13.81
[2024-02-29 13:45:19.712] 7.28
[2024-02-29 13:45:19.712] 3.69
[2024-02-29 13:45:19.712] 7.50
[2024-02-29 13:45:19.712] 12.63
[2024-02-29 13:45:19.712] 11.34
[2024-02-29 13:45:19.712] 4.94
[2024-02-29 13:45:19.712] 1.41
[2024-02-29 13:45:19.712] 6.28
[2024-02-29 13:45:19.712] 14.16
[2024-02-29 13:45:19.712] 15.16
[2024-02-29 13:45:19.712] 7.72
[2024-02-29 13:45:19.712] 0.22
[2024-02-29 13:45:19.712] 1.53
[2024-02-29 13:45:19.712] 9.25
[2024-02-29 13:45:19.712] 12.28
[2024-02-29 13:45:19.712] 6.50
[2024-02-29 13:45:19.712] -0.88
[2024-02-29 13:45:19.712] 0.34
[2024-02-29 13:45:19.712] 9.56
[2024-02-29 13:45:19.712] 14.44
[2024-02-29 13:45:19.712] 8.06
[2024-02-29 13:45:19.712] -3.69
[2024-02-29 13:45:19.712] -8.69
[2024-02-29 13:45:19.712] -3.94
[2024-02-29 13:45:19.712] 2.19
[2024-02-29 13:45:19.712] 2.25
[2024-02-29 13:45:19.712] -2.81
[2024-02-29 13:45:19.712] -4.22
[2024-02-29 13:45:19.712] 2.66
[2024-02-29 13:45:19.712] 10.38
[2024-02-29 13:45:19.712] 10.09
[2024-02-29 13:45:19.712] 3.19
[2024-02-29 13:45:19.712] 2.50
[2024-02-29 13:45:19.712] 13.47
[2024-02-29 13:45:19.712] 24.00
[2024-02-29 13:45:19.712] 19.62
[2024-02-29 13:45:19.712] 3.13
[2024-02-29 13:45:19.712] -6.38
[2024-02-29 13:45:19.712] 1.66
[2024-02-29 13:45:19.712] 14.50
[2024-02-29 13:45:19.712] 14.03
[2024-02-29 13:45:19.712] -0.25
[2024-02-29 13:45:19.712] -10.56
[2024-02-29 13:45:19.712] -5.09
[2024-02-29 13:45:19.712] 5.59
[2024-02-29 13:45:19.712] 5.53
[2024-02-29 13:45:19.712] -6.06
[2024-02-29 13:45:19.712] -13.09
[2024-02-29 13:45:19.712] -5.59
[2024-02-29 13:45:19.712] 5.91
[2024-02-29 13:45:19.712] 5.66
[2024-02-29 13:45:19.712] -7.28
[2024-02-29 13:45:19.712] -16.44
[2024-02-29 13:45:19.728] -9.88
[2024-02-29 13:45:19.728] 3.00
[2024-02-29 13:45:19.728] 5.44
[2024-02-29 13:45:19.728] -5.63
[2024-02-29 13:45:19.728] -15.06
[2024-02-29 13:45:19.728] -10.16
[2024-02-29 13:45:19.728] 1.66
[2024-02-29 13:45:19.728] 4.88
[2024-02-29 13:45:19.728] -4.16
[2024-02-29 13:45:19.728] -11.34
[2024-02-29 13:45:19.728] -5.69
[2024-02-29 13:45:19.728] 4.78
[2024-02-29 13:45:19.728] 5.09
[2024-02-29 13:45:19.728] -7.06
[2024-02-29 13:45:19.728] -16.66
[2024-02-29 13:45:19.728] -11.13
[2024-02-29 13:45:19.728] 2.00
[2024-02-29 13:45:19.728] 6.09
[2024-02-29 13:45:19.728] -4.09
[2024-02-29 13:45:19.728] -14.94
[2024-02-29 13:45:19.728] -12.00
[2024-02-29 13:45:19.728] -0.09
[2024-02-29 13:45:19.728] 5.00
[2024-02-29 13:45:19.728] -4.09
[2024-02-29 13:45:19.728] -15.38
[2024-02-29 13:45:19.728] -13.75
[2024-02-29 13:45:19.728] -1.72
[2024-02-29 13:45:19.728] 5.41
[2024-02-29 13:45:19.728] -1.44
[2024-02-29 13:45:19.728] -12.25
[2024-02-29 13:45:19.728] -11.78
[2024-02-29 13:45:19.728] -1.00
[2024-02-29 13:45:19.728] 5.97
[2024-02-29 13:45:19.728] -0.09
[2024-02-29 13:45:19.728] -9.78
[2024-02-29 13:45:19.728] -8.88
[2024-02-29 13:45:19.728] 1.50
[2024-02-29 13:45:19.728] 7.22
[2024-02-29 13:45:19.728] -0.09
[2024-02-29 13:45:19.728] -10.84
[2024-02-29 13:45:19.728] -10.03
[2024-02-29 13:45:19.728] 1.34
[2024-02-29 13:45:19.728] 8.75
[2024-02-29 13:45:19.728] 2.47
[2024-02-29 13:45:19.728] -8.41
[2024-02-29 13:45:19.728] -8.41
[2024-02-29 13:45:19.728] 2.16
[2024-02-29 13:45:19.728] 9.00
[2024-02-29 13:45:19.728] 2.28
[2024-02-29 13:45:19.728] -9.41
[2024-02-29 13:45:19.728] -10.00
[2024-02-29 13:45:19.728] 1.28
[2024-02-29 13:45:19.728] 9.75
[2024-02-29 13:45:19.728] 3.97
[2024-02-29 13:45:19.728] -8.28
[2024-02-29 13:45:19.728] -10.22
[2024-02-29 13:45:19.728] 0.53
[2024-02-29 13:45:19.728] 9.78
[2024-02-29 13:45:19.728] 4.63
[2024-02-29 13:45:19.728] -8.00
[2024-02-29 13:45:19.728] -10.81
[2024-02-29 13:45:19.728] -0.09
